timestamp,distance_cm,calibrated_distance_cm,flux,temperature_c
1.581,230.15,233.15,1584,28.1
1.591,229.53,232.53,1614,28.1
1.601,229.53,232.53,1717,28.1
1.611,230.0,233.0,1644,28.1
1.621,231.39,234.39,1821,28.1
1.631,230.53,233.53,1738,28.1
1.641,229.41,232.41,1793,28.1
1.651,230.24,233.24,1863,28.1
1.661,232.23,235.23,1670,28.1
1.671,231.59,234.59,1692,28.1
1.681,232.84,235.84,1806,28.1
1.691,233.1,236.1,1845,28.1
1.701,233.31,236.31,1647,28.1
1.711,231.66,234.66,1572,28.1
1.721,233.82,236.82,1751,28.1
1.731,233.2,236.2,1765,28.1
1.741,233.24,236.24,1884,28.1
1.751,235.79,238.79,1676,28.1
1.761,236.01,239.01,1683,28.1
1.771,233.59,236.59,1892,28.1
1.781,235.39,238.39,1896,28.1
1.791,234.84,237.84,1660,28.1
1.801,235.22,238.22,2010,28.1
1.811,236.81,239.81,1730,28.1
1.821,236.82,239.82,1820,28.1
1.831,237.25,240.25,1604,28.1
1.841,236.51,239.51,1804,28.1
1.851,236.72,239.72,1654,28.1
1.861,238.24,241.24,1948,28.1
1.871,237.86,240.86,1701,28.1
1.881,238.45,241.45,1812,28.1
1.891,238.46,241.46,1877,28.1
1.901,239.19,242.19,1558,28.1
1.911,239.26,242.26,1541,28.1
1.921,239.54,242.54,1890,28.1
1.931,240.14,243.14,1849,28.1
1.941,240.96,243.96,1612,28.1
1.951,241.2,244.2,1837,28.1
1.961,240.65,243.65,1677,28.1
1.971,241.54,244.54,1937,28.1
1.981,242.64,245.64,1912,28.1
1.991,243.46,246.46,1723,28.1
2.001,243.49,246.49,1962,28.1
2.011,241.96,244.96,2016,28.1
2.021,244.62,247.62,2055,28.1
2.031,243.23,246.23,2005,28.1
2.041,244.49,247.49,1933,28.1
2.051,243.44,246.44,1754,28.1
2.061,244.12,247.12,1871,28.1
2.071,246.19,249.19,1741,28.1
2.081,246.27,249.27,1762,28.1
2.091,245.52,248.52,1719,28.1
2.101,246.2,249.2,1842,28.1
2.111,246.53,249.53,1645,28.1
2.121,247.86,250.86,1531,28.1
2.131,246.69,249.69,1790,28.1
2.141,247.77,250.77,1836,28.1
2.151,249.19,252.19,1928,28.1
2.161,250.19,253.19,1828,28.1
2.171,248.57,251.57,1813,28.1
2.181,248.76,251.76,1570,28.1
2.191,250.98,253.98,1776,28.1
2.201,249.53,252.53,1567,28.1
2.211,251.42,254.42,1694,28.1
2.221,251.61,254.61,1663,28.1
2.231,252.12,255.12,1846,28.1
2.241,253.4,256.4,1740,28.1
2.251,252.1,255.1,2033,28.1
2.261,253.97,256.97,1703,28.1
2.271,254.42,257.42,1813,28.1
2.281,253.96,256.96,1976,28.1
2.291,254.58,257.58,1664,28.1
2.301,255.54,258.54,1772,28.1
2.311,254.98,257.98,1889,28.1
2.321,254.31,257.31,1729,28.1
2.331,255.63,258.63,1720,28.1
2.341,258.06,261.06,1720,28.1
2.351,257.4,260.4,1649,28.1
2.361,256.76,259.76,2054,28.1
2.371,257.12,260.12,1701,28.1
2.381,259.37,262.37,2061,28.1
2.391,260.08,263.08,1574,28.1
2.401,259.55,262.55,1729,28.2
2.411,259.56,262.56,2033,28.2
2.421,261.95,264.95,1651,28.2
2.431,261.29,264.29,1712,28.2
2.441,262.1,265.1,1523,28.2
2.451,261.5,264.5,1792,28.2
2.461,263.09,266.09,1590,28.2
2.471,263.15,266.15,1824,28.2
2.481,263.51,266.51,2062,28.2
2.491,264.32,267.32,1720,28.2
2.501,264.96,267.96,1915,28.2
2.511,265.77,268.77,1682,28.2
2.521,265.65,268.65,1804,28.2
2.531,266.19,269.19,2063,28.2
2.541,266.83,269.83,1634,28.2
2.551,267.17,270.17,1904,28.2
2.561,267.97,270.97,1883,28.2
2.571,269.22,272.22,2070,28.2
2.581,268.21,271.21,1839,28.2
2.591,269.65,272.65,1995,28.2
2.601,269.69,272.69,1661,28.2
2.611,271.99,274.99,1840,28.2
2.621,270.65,273.65,1808,28.2
2.631,273.05,276.05,1660,28.2
2.641,272.13,275.13,1789,28.2
2.651,273.67,276.67,1918,28.2
2.661,272.69,275.69,1719,28.2
2.671,273.68,276.68,1789,28.2
2.681,274.97,277.97,1804,28.2
2.691,274.89,277.89,1855,28.2
2.701,275.63,278.63,1712,28.2
2.711,276.22,279.22,1863,28.2
2.721,276.83,279.83,1636,28.2
2.731,277.31,280.31,1801,28.2
2.741,273.16,276.16,1536,28.2
2.751,271.4,274.4,1782,28.2
2.761,272.11,275.11,1971,28.2
2.771,272.09,275.09,1776,28.2
2.781,270.97,273.97,1891,28.2
2.791,269.39,272.39,1902,28.2
2.801,269.91,272.91,1353,28.2
2.811,267.29,270.29,1606,28.2
2.821,266.7,269.7,1741,28.2
2.831,267.34,270.34,1694,28.2
2.841,264.84,267.84,1686,28.2
2.851,265.37,268.37,1820,28.2
2.861,264.23,267.23,1673,28.2
2.871,264.12,267.12,1838,28.2
2.881,261.88,264.88,1690,28.2
2.891,261.5,264.5,1898,28.2
2.901,261.5,264.5,1595,28.2
2.911,260.4,263.4,1823,28.2
2.921,259.28,262.28,1895,28.2
2.931,258.02,261.02,1930,28.2
2.941,258.17,261.17,1705,28.2
2.951,257.86,260.86,1897,28.2
2.961,257.93,260.93,1639,28.2
2.971,256.49,259.49,1712,28.2
2.981,257.42,260.42,1678,28.2
2.991,253.82,256.82,1628,28.2
3.001,253.69,256.69,2039,28.2
3.011,254.1,257.1,1732,28.2
3.021,254.77,257.77,1839,28.2
3.031,253.25,256.25,1748,28.2
3.041,252.01,255.01,1864,28.2
3.051,252.31,255.31,1782,28.2
3.061,250.08,253.08,1743,28.2
3.071,251.06,254.06,1927,28.2
3.081,249.35,252.35,1541,28.2
3.091,247.92,250.92,1701,28.2
3.101,247.67,250.67,2073,28.2
3.111,247.08,250.08,1550,28.2
3.121,247.55,250.55,1770,28.2
3.131,247.03,250.03,1964,28.2
3.141,245.61,248.61,1798,28.2
3.151,245.58,248.58,1718,28.2
3.161,241.32,244.32,1598,28.2
3.171,243.69,246.69,1844,28.2
3.181,242.29,245.29,2026,28.2
3.191,241.91,244.91,1887,28.2
3.201,243.14,246.14,2050,28.2
3.211,241.48,244.48,1864,28.2
3.221,240.51,243.51,1801,28.2
3.231,239.21,242.21,1648,28.2
3.241,240.51,243.51,1848,28.2
3.251,240.25,243.25,1749,28.2
3.261,238.91,241.91,1955,28.2
3.271,238.87,241.87,1630,28.2
3.281,238.51,241.51,1703,28.2
3.291,237.33,240.33,1857,28.2
3.301,236.75,239.75,1878,28.2
3.311,237.19,240.19,1785,28.2
3.321,236.98,239.98,1846,28.2
3.331,233.68,236.68,1877,28.2
3.341,235.38,238.38,1610,28.2
3.351,233.74,236.74,2055,28.2
3.361,233.63,236.63,1706,28.2
3.371,233.34,236.34,1667,28.2
3.381,232.72,235.72,1861,28.2
3.391,232.62,235.62,1714,28.2
3.401,232.2,235.2,1598,28.2
3.411,230.88,233.88,1858,28.2
3.421,229.64,232.64,1644,28.2
3.431,230.84,233.84,1701,28.2
3.441,229.19,232.19,1644,28.2
3.451,229.21,232.21,1965,28.2
3.461,228.6,231.6,1916,28.2
3.471,227.81,230.81,1771,28.2
3.481,228.54,231.54,1818,28.2
3.491,226.95,229.95,1852,28.2
3.501,226.91,229.91,1676,28.2
3.511,224.7,227.7,1706,28.2
3.521,225.44,228.44,2036,28.2
3.531,225.61,228.61,1718,28.2
3.541,224.14,227.14,1585,28.2
3.551,223.53,226.53,1870,28.2
3.561,223.73,226.73,2060,28.2
3.571,222.54,225.54,1689,28.2
3.581,222.22,225.22,1749,28.2
3.591,222.18,225.18,1886,28.2
3.602,223.08,226.08,1786,28.2
3.612,221.71,224.71,1744,28.2
3.622,221.41,224.41,1802,28.2
3.632,220.72,223.72,1649,28.2
3.642,219.52,222.52,1564,28.2
3.652,220.08,223.08,1769,28.2
3.662,220.91,223.91,1733,28.2
3.672,220.18,223.18,1737,28.2
3.682,219.46,222.46,1742,28.2
3.692,219.05,222.05,1932,28.2
3.702,219.83,222.83,1723,28.2
3.712,218.12,221.12,1688,28.2
3.722,216.31,219.31,1577,28.2
3.732,216.02,219.02,1770,28.2
3.742,216.52,219.52,1928,28.2
3.752,216.9,219.9,2001,28.2
3.762,215.27,218.27,1696,28.2
3.772,215.18,218.18,1940,28.2
3.782,216.11,219.11,2095,28.2
3.792,214.78,217.78,2006,28.2
3.802,214.05,217.05,1780,28.2
3.812,214.12,217.12,1772,28.2
3.822,213.59,216.59,1812,28.2
3.832,214.4,217.4,1578,28.2
3.842,213.71,216.71,1883,28.2
3.852,212.67,215.67,1650,28.2
3.862,212.46,215.46,1767,28.2
3.872,212.89,215.89,2019,28.2
3.882,211.78,214.78,2082,28.2
3.892,212.93,215.93,1896,28.2
3.902,211.03,214.03,1601,28.2
3.912,210.16,213.16,1982,28.2
3.922,210.93,213.93,1966,28.2
3.932,208.85,211.85,1759,28.2
3.942,209.61,212.61,1866,28.2
3.952,210.85,213.85,1774,28.2
3.962,207.78,210.78,1718,28.2
3.972,209.13,212.13,1904,28.2
3.982,208.75,211.75,1823,28.2
3.992,210.12,213.12,1724,28.2
4.002,208.62,211.62,1832,28.3
4.012,206.17,209.17,1729,28.3
4.022,205.2,208.2,1840,28.3
4.032,207.27,210.27,1826,28.3
4.042,206.88,209.88,1872,28.3
4.052,205.64,208.64,1719,28.3
4.062,204.52,207.52,1878,28.3
4.072,205.95,208.95,1442,28.3
4.082,205.79,208.79,2113,28.3
4.092,204.08,207.08,1596,28.3
4.102,203.76,206.76,1816,28.3
4.112,205.84,208.84,1881,28.3
4.122,202.51,205.51,1836,28.3
4.132,203.97,206.97,1862,28.3
4.142,202.93,205.93,1657,28.3
4.152,202.29,205.29,1738,28.3
4.162,204.27,207.27,1677,28.3
4.172,202.31,205.31,1776,28.3
4.182,201.73,204.73,1880,28.3
4.192,201.4,204.4,1745,28.3
4.202,203.4,206.4,1650,28.3
4.212,202.74,205.74,1682,28.3
4.222,201.87,204.87,1733,28.3
4.232,200.75,203.75,1561,28.3
4.242,200.73,203.73,1445,28.3
4.252,200.88,203.88,1928,28.3
4.262,200.13,203.13,1843,28.3
4.272,199.8,202.8,1776,28.3
4.282,199.64,202.64,1992,28.3
4.292,200.54,203.54,1836,28.3
4.302,199.87,202.87,1842,28.3
4.312,198.11,201.11,2041,28.3
4.322,197.24,200.24,1952,28.3
4.332,199.64,202.64,1982,28.3
4.342,199.05,202.05,1620,28.3
4.352,198.11,201.11,1966,28.3
4.362,198.5,201.5,1845,28.3
4.372,198.05,201.05,2065,28.3
4.382,198.51,201.51,1753,28.3
4.392,198.63,201.63,1721,28.3
4.402,196.79,199.79,1903,28.3
4.412,196.39,199.39,1794,28.3
4.422,196.09,199.09,1643,28.3
4.432,195.9,198.9,1692,28.3
4.442,195.4,198.4,1574,28.3
4.452,195.62,198.62,1789,28.3
4.462,196.15,199.15,1614,28.3
4.472,195.53,198.53,2175,28.3
4.482,194.7,197.7,1554,28.3
4.492,194.7,197.7,1443,28.3
4.502,194.2,197.2,1880,28.3
4.512,194.25,197.25,1967,28.3
4.522,192.98,195.98,1997,28.3
4.532,194.85,197.85,2017,28.3
4.542,195.04,198.04,1964,28.3
4.552,194.43,197.43,1731,28.3
4.562,194.24,197.24,1873,28.3
4.572,193.02,196.02,1764,28.3
4.582,192.9,195.9,1495,28.3
4.592,193.19,196.19,2012,28.3
4.602,193.22,196.22,1732,28.3
4.612,193.11,196.11,1954,28.3
4.622,193.15,196.15,1814,28.3
4.632,192.57,195.57,1921,28.3
4.642,190.53,193.53,1950,28.3
4.652,190.84,193.84,1595,28.3
4.662,192.84,195.84,1961,28.3
4.672,191.31,194.31,1954,28.3
4.682,190.02,193.02,1587,28.3
4.692,191.35,194.35,1614,28.3
4.702,190.84,193.84,1694,28.3
4.712,191.35,194.35,1754,28.3
4.722,190.01,193.01,1859,28.3
4.732,191.79,194.79,1848,28.3
4.742,191.0,194.0,1881,28.3
4.752,190.59,193.59,1919,28.3
4.762,190.77,193.77,1550,28.3
4.772,190.14,193.14,2044,28.3
4.782,189.76,192.76,2012,28.3
4.792,189.14,192.14,1829,28.3
4.802,188.93,191.93,1806,28.3
4.812,189.43,192.43,1783,28.3
4.822,189.45,192.45,1479,28.3
4.832,188.63,191.63,1984,28.3
4.842,188.58,191.58,1833,28.3
4.852,187.83,190.83,2038,28.3
4.862,188.18,191.18,1753,28.3
4.872,188.89,191.89,1619,28.3
4.882,187.0,190.0,1750,28.3
4.892,188.04,191.04,1660,28.3
4.902,186.51,189.51,1973,28.3
4.912,187.16,190.16,1961,28.3
4.922,187.86,190.86,1932,28.3
4.932,187.57,190.57,2136,28.3
4.942,188.26,191.26,1944,28.3
4.952,187.22,190.22,1936,28.3
4.962,186.53,189.53,2050,28.3
4.972,187.67,190.67,1550,28.3
4.982,187.66,190.66,1882,28.3
4.992,186.34,189.34,1821,28.3
5.002,185.83,188.83,1834,28.3
5.012,186.12,189.12,1975,28.3
5.022,185.06,188.06,1782,28.3
5.032,186.19,189.19,1845,28.3
5.042,185.68,188.68,1696,28.3
5.052,185.53,188.53,1879,28.3
5.062,185.03,188.03,1770,28.3
5.072,185.06,188.06,1489,28.3
5.082,185.47,188.47,1626,28.3
5.092,183.9,186.9,1479,28.3
5.102,183.64,186.64,1883,28.3
5.112,184.95,187.95,1711,28.3
5.122,185.22,188.22,1648,28.3
5.132,186.24,189.24,1945,28.3
5.142,185.28,188.28,1425,28.3
5.152,184.46,187.46,1729,28.3
5.162,184.9,187.9,1594,28.3
5.172,184.41,187.41,1732,28.3
5.182,184.81,187.81,1757,28.3
5.192,183.3,186.3,1985,28.3
5.202,181.81,184.81,1803,28.3
5.212,183.88,186.88,1930,28.3
5.222,184.19,187.19,1764,28.3
5.232,184.17,187.17,1626,28.3
5.242,183.81,186.81,1961,28.3
5.252,184.64,187.64,1693,28.3
5.262,182.16,185.16,1996,28.3
5.272,183.77,186.77,1781,28.3
5.282,182.93,185.93,1965,28.3
5.292,183.79,186.79,1699,28.3
5.302,183.11,186.11,1949,28.3
5.312,183.08,186.08,1818,28.3
5.322,183.19,186.19,1708,28.3
5.332,183.73,186.73,1655,28.3
5.342,182.95,185.95,1674,28.3
5.352,181.81,184.81,1630,28.3
5.362,183.61,186.61,1629,28.3
5.372,181.6,184.6,1949,28.3
5.382,183.02,186.02,1805,28.3
5.392,180.22,183.22,1908,28.3
5.402,182.39,185.39,1707,28.3
5.412,182.43,185.43,2108,28.3
5.422,182.19,185.19,1512,28.3
5.432,180.24,183.24,1965,28.3
5.442,181.32,184.32,2066,28.3
5.452,180.92,183.92,1909,28.3
5.462,179.98,182.98,2054,28.3
5.472,181.42,184.42,1896,28.3
5.482,181.09,184.09,1926,28.3
5.492,182.34,185.34,1873,28.3
5.502,181.16,184.16,1667,28.3
5.512,181.0,184.0,2030,28.3
5.522,181.18,184.18,2095,28.3
5.532,181.61,184.61,1945,28.3
5.542,180.3,183.3,1569,28.3
5.552,180.86,183.86,1613,28.3
5.562,182.54,185.54,1996,28.3
5.572,182.27,185.27,1798,28.3
5.582,180.21,183.21,1509,28.3
5.592,181.18,184.18,1890,28.3
5.602,182.06,185.06,1714,28.4
5.612,182.01,185.01,1713,28.4
5.622,181.93,184.93,1787,28.4
5.632,181.01,184.01,1564,28.4
5.642,180.87,183.87,1716,28.4
5.652,181.28,184.28,1765,28.4
5.662,180.48,183.48,1821,28.4
5.672,179.14,182.14,1972,28.4
5.682,181.24,184.24,1752,28.4
5.692,180.21,183.21,1667,28.4
5.702,181.59,184.59,1862,28.4
5.712,179.82,182.82,1732,28.4
5.722,181.81,184.81,1765,28.4
5.732,181.27,184.27,1728,28.4
5.742,182.32,185.32,1527,28.4
5.752,180.96,183.96,1813,28.4
5.762,179.48,182.48,1640,28.4
5.772,180.99,183.99,1656,28.4
5.782,180.04,183.04,1944,28.4
5.792,180.49,183.49,1666,28.4
5.802,180.82,183.82,1718,28.4
5.812,180.88,183.88,2013,28.4
5.822,179.95,182.95,1526,28.4
5.832,180.52,183.52,1833,28.4
5.842,180.47,183.47,1524,28.4
5.852,180.38,183.38,2113,28.4
5.862,180.26,183.26,1958,28.4
5.872,178.61,181.61,1661,28.4
5.882,180.09,183.09,1505,28.4
5.892,179.92,182.92,1892,28.4
5.902,179.93,182.93,1733,28.4
5.912,179.68,182.68,2159,28.4
5.922,180.72,183.72,1899,28.4
5.932,179.17,182.17,1723,28.4
5.942,179.26,182.26,1969,28.4
5.952,180.09,183.09,1603,28.4
5.962,179.89,182.89,2050,28.4
5.972,180.96,183.96,1994,28.4
5.982,181.07,184.07,1990,28.4
5.992,181.14,184.14,1714,28.4
6.003,180.18,183.18,1886,28.4
6.013,180.05,183.05,1513,28.4
6.023,180.66,183.66,1816,28.4
6.033,180.06,183.06,1759,28.4
6.043,179.8,182.8,1362,28.4
6.053,180.42,183.42,1924,28.4
6.063,179.92,182.92,1940,28.4
6.073,177.92,180.92,1689,28.4
6.083,181.18,184.18,1685,28.4
6.093,179.94,182.94,1548,28.4
6.103,179.47,182.47,1537,28.4
6.113,178.97,181.97,2039,28.4
6.123,180.01,183.01,2088,28.4
6.133,179.61,182.61,1534,28.4
6.143,179.6,182.6,1891,28.4
6.153,179.15,182.15,1732,28.4
6.163,180.26,183.26,1615,28.4
6.173,179.84,182.84,1672,28.4
6.183,179.32,182.32,1874,28.4
6.193,180.49,183.49,1747,28.4
6.203,179.8,182.8,2081,28.4
6.213,180.13,183.13,1742,28.4
6.223,180.55,183.55,1659,28.4
6.233,178.68,181.68,1825,28.4
6.243,180.74,183.74,1568,28.4
6.253,179.85,182.85,1648,28.4
6.263,179.05,182.05,1805,28.4
6.273,181.02,184.02,1819,28.4
6.283,181.1,184.1,1777,28.4
6.293,181.16,184.16,1629,28.4
6.303,180.77,183.77,1908,28.4
6.313,180.69,183.69,1777,28.4
6.323,180.3,183.3,1425,28.4
6.333,181.48,184.48,1652,28.4
6.343,179.97,182.97,2081,28.4
6.353,180.42,183.42,1983,28.4
6.363,180.15,183.15,1422,28.4
6.373,180.48,183.48,2038,28.4
6.383,180.63,183.63,1859,28.4
6.393,180.64,183.64,1588,28.4
6.403,179.87,182.87,1404,28.4
6.413,182.23,185.23,1540,28.4
6.423,181.62,184.62,1733,28.4
6.433,181.83,184.83,1622,28.4
6.443,180.91,183.91,1907,28.4
6.453,182.31,185.31,1508,28.4
6.463,180.23,183.23,1950,28.4
6.473,181.52,184.52,1736,28.4
6.483,182.32,185.32,1801,28.4
6.493,182.54,185.54,1659,28.4
6.503,182.47,185.47,1794,28.4
6.513,180.99,183.99,1609,28.4
6.523,181.11,184.11,1723,28.4
6.533,181.44,184.44,1636,28.4
6.543,180.55,183.55,1911,28.4
6.553,182.21,185.21,1660,28.4
6.563,182.22,185.22,1513,28.4
6.573,181.69,184.69,1777,28.4
6.583,182.07,185.07,1541,28.4
6.593,182.73,185.73,1687,28.4
6.603,181.73,184.73,1930,28.4
6.613,183.44,186.44,1902,28.4
6.623,182.37,185.37,1929,28.4
6.633,181.7,184.7,1820,28.4
6.643,182.62,185.62,1640,28.4
6.653,181.64,184.64,1886,28.4
6.663,183.88,186.88,1751,28.4
6.673,182.97,185.97,2044,28.4
6.683,183.4,186.4,1786,28.4
6.693,183.05,186.05,1965,28.4
6.703,183.01,186.01,1713,28.4
6.713,181.72,184.72,1936,28.4
6.723,183.15,186.15,1627,28.4
6.733,183.3,186.3,1996,28.4
6.743,183.02,186.02,1746,28.4
6.753,182.25,185.25,1743,28.4
6.763,183.89,186.89,1713,28.4
6.773,184.9,187.9,1535,28.4
6.783,184.77,187.77,1809,28.4
6.793,185.06,188.06,1832,28.4
6.803,184.43,187.43,2058,28.4
6.813,185.53,188.53,1321,28.4
6.823,183.83,186.83,1716,28.4
6.833,184.93,187.93,1745,28.4
6.843,186.73,189.73,1766,28.4
6.853,185.49,188.49,1831,28.4
6.863,184.4,187.4,1751,28.4
6.873,183.9,186.9,2093,28.4
6.883,184.35,187.35,1721,28.4
6.893,185.41,188.41,1754,28.4
6.903,186.45,189.45,1635,28.4
6.913,185.49,188.49,1851,28.4
6.923,185.66,188.66,1680,28.4
6.933,185.59,188.59,1862,28.4
6.943,185.07,188.07,2010,28.4
6.953,185.02,188.02,1403,28.4
6.963,185.95,188.95,1582,28.4
6.973,185.69,188.69,1669,28.4
6.983,185.96,188.96,1974,28.4
6.993,186.33,189.33,1683,28.4
7.003,187.06,190.06,1849,28.4
7.013,186.74,189.74,1779,28.4
7.023,186.72,189.72,1938,28.4
7.033,187.17,190.17,1841,28.4
7.043,186.91,189.91,1758,28.4
7.053,187.13,190.13,2136,28.4
7.063,188.35,191.35,2021,28.4
7.073,186.96,189.96,1739,28.4
7.083,188.31,191.31,1706,28.4
7.093,189.3,192.3,1651,28.4
7.103,187.05,190.05,1647,28.4
7.113,188.44,191.44,1843,28.4
7.123,188.4,191.4,1737,28.4
7.133,188.19,191.19,1925,28.4
7.143,187.98,190.98,2152,28.4
7.153,188.5,191.5,1912,28.4
7.163,190.57,193.57,1846,28.4
7.173,189.65,192.65,1722,28.4
7.183,189.18,192.18,1806,28.4
7.193,189.88,192.88,1697,28.4
7.203,189.81,192.81,1804,28.5
7.213,188.9,191.9,1770,28.5
7.223,188.86,191.86,1826,28.5
7.233,190.67,193.67,1849,28.5
7.243,189.31,192.31,1855,28.5
7.253,190.6,193.6,1586,28.5
7.263,189.66,192.66,1766,28.5
7.273,191.12,194.12,2086,28.5
7.283,190.82,193.82,1913,28.5
7.293,191.26,194.26,1736,28.5
7.303,191.41,194.41,1787,28.5
7.313,190.76,193.76,2024,28.5
7.323,190.7,193.7,2012,28.5
